Number,Type,Sentence
1,Financial Bank,She deposited her paycheck at the bank on Friday afternoon.
2,Financial Bank,The bank approved her mortgage application after a thorough review.
3,Financial Bank,He stood in line at the bank for nearly thirty minutes.
4,Financial Bank,The central bank raised interest rates to combat inflation.
5,Financial Bank,My bank sent me a fraud alert about a suspicious transaction.
6,Financial Bank,The bank vault was sealed with a six-inch steel door.
7,Financial Bank,She opened her first savings account at the local bank.
8,Financial Bank,The bank offered a competitive interest rate on fixed deposits.
9,Financial Bank,He was nervous walking into the bank to ask for a loan.
10,Financial Bank,The bank closed early on account of the public holiday.
11,Financial Bank,A masked man attempted to rob the bank on Main Street.
12,Financial Bank,The investment bank advised the company on its merger deal.
13,Financial Bank,She checked her balance using the bank's mobile app.
14,Financial Bank,The bank foreclosed on the property after months of missed payments.
15,Financial Bank,He worked as a teller at the bank for over a decade.
16,Financial Bank,The bank issued a new credit card with cashback rewards.
17,Financial Bank,She set up automatic transfers through her online bank portal.
18,Financial Bank,The bank's headquarters towered over the city's financial district.
19,Financial Bank,He inherited a small fortune and kept it safe in the bank.
20,Financial Bank,The bank waived the monthly fee for students under twenty-five.
21,Financial Bank,She took out a personal loan from the bank to cover medical bills.
22,Financial Bank,The bank's ATM was out of service during the weekend.
23,Financial Bank,He negotiated a lower interest rate with his bank.
24,Financial Bank,The local bank sponsored the town's annual summer festival.
25,Financial Bank,She was thrilled when the bank pre-approved her car loan.
26,Financial Bank,The bank printed new banknotes with enhanced security features.
27,Financial Bank,He reviewed his bank statement and noticed an unfamiliar charge.
28,Financial Bank,The bank required two forms of ID to open a new account.
29,Financial Bank,She donated a portion of her bank bonus to charity.
30,Financial Bank,The failing bank was acquired by a larger financial institution.
31,Financial Bank,He visited the bank to update his address on file.
32,Financial Bank,The bank's safe deposit boxes were in high demand.
33,Financial Bank,She applied for a small business loan at her local bank.
34,Financial Bank,The bank held a financial literacy workshop for teenagers.
35,Financial Bank,He transferred funds between accounts using the bank's website.
36,Financial Bank,The central bank printed money to stabilize the economy.
37,Financial Bank,She left her job at the law firm to become a bank examiner.
38,Financial Bank,The bank charged a fee for every international wire transfer.
39,Financial Bank,He put his gold coins in a safety deposit box at the bank.
40,Financial Bank,The bank was decorated with marble columns and grand archways.
41,Financial Bank,She reported her stolen card to the bank immediately.
42,Financial Bank,The bank's lending division processed hundreds of applications daily.
43,Financial Bank,He received a letter from the bank about changes to his account terms.
44,Financial Bank,The piggy bank on her desk was almost completely full.
45,Financial Bank,She watched the bank's stock price climb steadily over the year.
46,Financial Bank,The bank agreed to restructure his debt after job loss.
47,Financial Bank,He learned about compound interest during a bank seminar.
48,Financial Bank,The bank opened a new branch in the growing suburb.
49,Financial Bank,She kept an emergency fund in a high-yield bank account.
50,Financial Bank,The bank's new CEO promised to modernize its digital services.
51,River Bank,The children played along the grassy bank of the river.
52,River Bank,He cast his fishing line from the muddy bank at dawn.
53,River Bank,The river bank was lined with towering willow trees.
54,River Bank,Floodwaters rose until they spilled over the bank and into the fields.
55,River Bank,She sat on the bank and watched the current drift by.
56,River Bank,The beaver built its dam against the soft bank of the stream.
57,River Bank,Wildflowers bloomed in clusters along the river bank every spring.
58,River Bank,The hikers rested on the bank after crossing the shallow ford.
59,River Bank,He found smooth flat stones on the bank perfect for skipping.
60,River Bank,The eroding bank threatened to undermine the nearby road.
61,River Bank,Ducks waddled along the bank searching for food in the reeds.
62,River Bank,She sketched the opposite bank from her shaded spot under a tree.
63,River Bank,The river bank was steep and slippery after the heavy rain.
64,River Bank,Campers pitched their tents on the flat bank beside the river.
65,River Bank,He noticed fresh deer tracks pressed into the soft bank.
66,River Bank,The ancient city was built on the eastern bank of the great river.
67,River Bank,She dangled her feet over the edge of the bank into the cool water.
68,River Bank,The flooded bank was strewn with driftwood and debris.
69,River Bank,He jogged along the river bank every morning before sunrise.
70,River Bank,The river bank served as a natural boundary between the two farms.
71,River Bank,Frogs croaked loudly from the reeds along the bank at night.
72,River Bank,She found a family of otters burrowed into the river bank.
73,River Bank,The crumbling bank had been slowly eroding for decades.
74,River Bank,He anchored the boat to a post driven into the bank.
75,River Bank,The opposite bank shimmered gold in the late afternoon sun.
76,River Bank,She gathered clay from the bank to use in her pottery class.
77,River Bank,The expedition camped on the bank of the Amazon for several days.
78,River Bank,He built a small dock that jutted out from the grassy bank.
79,River Bank,The river bank burst under the pressure of the spring snowmelt.
80,River Bank,She painted a watercolor of the misty bank on a quiet morning.
81,River Bank,The bank was thick with cattails and buzzing with insects.
82,River Bank,He knelt at the bank to fill his canteen with fresh water.
83,River Bank,The children built a rope swing that hung above the bank.
84,River Bank,She read her book on the bank while her dog splashed in the shallows.
85,River Bank,The river bank was reinforced with stones to prevent further erosion.
86,River Bank,He spotted a kingfisher perched motionless on a branch over the bank.
87,River Bank,The soldiers crossed the river and held the opposite bank by nightfall.
88,River Bank,She found an old coin half-buried in the muddy bank.
89,River Bank,The trees along the bank provided shade for the cattle in summer.
90,River Bank,He slipped on the wet bank and fell knee-deep into the river.
91,River Bank,The river bank glowed orange and purple as the sun set.
92,River Bank,She followed the bank upstream until she found the source.
93,River Bank,The archaeologists discovered pottery shards buried in the river bank.
94,River Bank,He tied his kayak to a root jutting from the bank.
95,River Bank,The picnic area was nestled between the forest and the river bank.
96,River Bank,She watched a heron stand perfectly still at the edge of the bank.
97,River Bank,The spring floods had deposited rich silt across the entire bank.
98,River Bank,He wrote her name in the soft mud of the bank with a stick.
99,River Bank,The ancient willows had grown so large their roots spanned the whole bank.
100,River Bank,She promised herself she would return to that peaceful bank every summer.
